,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
840,,,me da,,,,,,,,,,,,,te abrace
841,,,me da,,,,,,,,,,,,,te acuestes
842,,,me da,,,,,,,,,,,,,te cases
843,,,me da,,,,,,,,,,,,,te decidas
844,,,me da,,,,,,,,,,,,,te diga
845,,,me da grima,,,,,,,,,,,,,te duermas
846,,,me daba,,,,,,,,,,,,,te encuentres
847,,,me daba,,,,,,,,,,,,,te enfades
848,,,me dará,,,,,,,,,,,,,te hable
849,,,me dará,,,,,,,,,,,,,te la quite
850,,,me dará,,,,,,,,,,,,,te mate
851,,,me das,,,,,,,,,,,,,te mueras
852,,,me dé,,,,,,,,,,,,,te pretenda
853,,,me dé,,,,,,,,,,,,,te quedes
854,,,me dé,,,,,,,,,,,,,te quiera
855,,,me debía,,,,,,,,,,,,,te quiera
856,,,me decía,,,,,,,,,,,,,te suceda
857,,,me decía,,,,,,,,,,,,,te suicides
858,,,me decía,,,,,,,,,,,,,te suicides
859,,,me decía,,,,,,,,,,,,,te vea
860,,,me decía,,,,,,,,,,,,,te vuelva
861,,,me decía,,,,,,,,,,,,,la estará
862,,,me decía,,,,,,,,,,,,,la llamaré
863,,,me decía,,,,,,,,,,,,,la tendrá
864,,,me decía,,,,,,,,,,,,,la volveré
865,,,me dedica,,,,,,,,,,,,,le buscaremos
866,,,me dedique,,,,,,,,,,,,,le calentaremos
867,,,me defienda,,,,,,,,,,,,,le dejaré
868,,,me defiendo,,,,,,,,,,,,,le diré
869,,,me deja,,,,,,,,,,,,,le diré
870,,,me deja,,,,,,,,,,,,,le diré
871,,,me dejaron ,,,,,,,,,,,,,le engañará
872,,,me dejas,,,,,,,,,,,,,le engañará
873,,,me deje ,,,,,,,,,,,,,le enterrarán
874,,,me dejo,,,,,,,,,,,,,le mataré
875,,,me desgarren,,,,,,,,,,,,,le pasará
876,,,me despachó,,,,,,,,,,,,,le querré
877,,,me desperté,,,,,,,,,,,,,le verás
878,,,me despidió,,,,,,,,,,,,,le verás
879,,,me desprecia,,,,,,,,,,,,,lo buscaré
880,,,me desprecia,,,,,,,,,,,,,lo buscaré
881,,,me despreció,,,,,,,,,,,,,lo creerás
882,,,me devoro,,,,,,,,,,,,,lo dejaré
883,,,me devoro,,,,,,,,,,,,,lo dejaré
884,,,me di,,,,,,,,,,,,,lo diré
885,,,me dice,,,,,,,,,,,,,lo estarán
886,,,me dice,,,,,,,,,,,,,lo pasaremos
887,,,me dice,,,,,,,,,,,,,lo sentiré
888,,,me dice,,,,,,,,,,,,,lo tocará
889,,,me diese,,,,,,,,,,,,,me aceptará
890,,,me digas,,,,,,,,,,,,,me aceptará
891,,,me digo,,,,,,,,,,,,,me acompañarás
892,,,me digo,,,,,,,,,,,,,me acompañarás
893,,,me dije,,,,,,,,,,,,,me acompañarás
894,,,me dije,,,,,,,,,,,,,me ayudarás
895,,,me dijese,,,,,,,,,,,,,me ayudarás
896,,,me dijo,,,,,,,,,,,,,me consolaré
897,,,Me dijo,,,,,,,,,,,,,me dará
898,,,Me dijo,,,,,,,,,,,,,me dará
899,,,me dijo,,,,,,,,,,,,,me dará
900,,,me dijo,,,,,,,,,,,,,me entenderás
901,,,me dijo,,,,,,,,,,,,,me iré
902,,,me dijo,,,,,,,,,,,,,me moriré
903,,,me dijo,,,,,,,,,,,,,me moriré
904,,,me dijo,,,,,,,,,,,,,me moriré
905,,,me dijo,,,,,,,,,,,,,me negarás
906,,,me dijo,,,,,,,,,,,,,me pondré
907,,,me dijo,,,,,,,,,,,,,me pondré
908,,,me dijo,,,,,,,,,,,,,me quedaré
909,,,me dijo,,,,,,,,,,,,,me querrás
910,,,me dijo,,,,,,,,,,,,,me querrás
911,,,me dijo,,,,,,,,,,,,,me quitaré
912,,,me dijo,,,,,,,,,,,,,me rechazará
913,,,me dijo,,,,,,,,,,,,,me traerá
914,,,me dio,,,,,,,,,,,,,me veré
915,,,me dio,,,,,,,,,,,,,me volverá
916,,,me dio,,,,,,,,,,,,,nos permitirá
917,,,me dio,,,,,,,,,,,,,nos separará
918,,,me discuta,,,,,,,,,,,,,Se borrará
919,,,me distraiga,,,,,,,,,,,,,se comprenderá
920,,,me distraigan,,,,,,,,,,,,,se confundirá
921,,,me divierte,,,,,,,,,,,,,se deberá
922,,,me dolía,,,,,,,,,,,,,se disiparán
923,,,me doy,,,,,,,,,,,,,se irá
924,,,me duele,,,,,,,,,,,,,se irán
925,,,me echa,,,,,,,,,,,,,se irán
926,,,me echa,,,,,,,,,,,,,se la daré
927,,,me enamoré,,,,,,,,,,,,,se la tomarán
928,,,me encargó,,,,,,,,,,,,,se le pasará
929,,,me encierre,,,,,,,,,,,,,se me negará
930,,,me encocora,,,,,,,,,,,,,se me pasará
931,,,me encocoran,,,,,,,,,,,,,se morirá
932,,,me encuentras,,,,,,,,,,,,,se morirá
933,,,me enjugué,,,,,,,,,,,,,se morirá
934,,,me enlacé ,,,,,,,,,,,,,se morirá
935,,,me enseñó,,,,,,,,,,,,,se morirá
936,,,me entenderás,,,,,,,,,,,,,se morirá
937,,,me entiende,,,,,,,,,,,,,se morirá
938,,,me entiende,,,,,,,,,,,,,se morirá
939,,,me entiende,,,,,,,,,,,,,se morirá
940,,,me entiende,,,,,,,,,,,,,se morirá
941,,,me entiendes,,,,,,,,,,,,,se morirá
942,,,me entran,,,,,,,,,,,,,se morirá
943,,,me entrara,,,,,,,,,,,,,se morirá
944,,,me entren,,,,,,,,,,,,,se morirá
945,,,me entusiasma,,,,,,,,,,,,,se morirá
946,,,me envolvió,,,,,,,,,,,,,se morirán
947,,,me equivoco,,,,,,,,,,,,,se morirán
948,,,me equivoco,,,,,,,,,,,,,se nos irán
949,,,me es,,,,,,,,,,,,,se ofenderá
950,,,me esfuerzo,,,,,,,,,,,,,se os morirán
951,,,me esoty,,,,,,,,,,,,,se quedará
952,,,me esperaba,,,,,,,,,,,,,se resignará
953,,,me esperase,,,,,,,,,,,,,se sabrá
954,,,me está llamando,,,,,,,,,,,,,se titulará
955,,,me estás soñando,,,,,,,,,,,,,se verá
956,,,me estén,,,,,,,,,,,,,se volverá
957,,,me estuvo,,,,,,,,,,,,,te absorberá
958,,,me exalto,,,,,,,,,,,,,te creerás
959,,,me falta,,,,,,,,,,,,,te echará
960,,,me falta,,,,,,,,,,,,,te la traeré
961,,,me falta,,,,,,,,,,,,,te lo contaré
962,,,me fastidia,,,,,,,,,,,,,te lo diré
963,,,me fastidia,,,,,,,,,,,,,te lo explicaré
964,,,me felicito,,,,,,,,,,,,,te me incomodarás
965,,,me figuré,,,,,,,,,,,,,te morirás
966,,,me figuro,,,,,,,,,,,,,te morirás
967,,,me fuese,,,,,,,,,,,,,te morirás
968,,,me gano,,,,,,,,,,,,,te morirás
969,,,me gusta,,,,,,,,,,,,,te morirás
970,,,me gusta,,,,,,,,,,,,,te querré
971,,,me gusta,,,,,,,,,,,,,te querré
972,,,me gustan,,,,,,,,,,,,,te querré
973,,,me ha bajado,,,,,,,,,,,,,te suicidarás
974,,,me ha cegado,,,,,,,,,,,,,la conoces
975,,,me ha conquistado,,,,,,,,,,,,,la conozco
976,,,me ha cortado,,,,,,,,,,,,,la crea
977,,,me ha costado,,,,,,,,,,,,,la crees
978,,,me ha dado,,,,,,,,,,,,,la estudia
979,,,me ha declarado,,,,,,,,,,,,,la leéis
980,,,me ha despertado,,,,,,,,,,,,,la puede
981,,,me ha dicho,,,,,,,,,,,,,la quiere
982,,,me ha dicho,,,,,,,,,,,,,la saco
983,,,me ha dicho,,,,,,,,,,,,,la tiene
984,,,me ha enseñado,,,,,,,,,,,,,la tiene
985,,,me ha entrado,,,,,,,,,,,,,la vamos
986,,,me ha estado,,,,,,,,,,,,,las escribo
987,,,me ha fingido,,,,,,,,,,,,,las tienen
988,,,me ha hecho,,,,,,,,,,,,,le acariciamos
989,,,me ha hecho,,,,,,,,,,,,,le aceptas
990,,,me ha matado,,,,,,,,,,,,,le acusa
991,,,me ha parecido,,,,,,,,,,,,,le admira
992,,,me ha pasado,,,,,,,,,,,,,le aguarda
993,,,me ha pasado,,,,,,,,,,,,,le ahorran
994,,,me ha producirdo,,,,,,,,,,,,,le compadezco
995,,,me ha salido,,,,,,,,,,,,,le conocen
996,,,me ha soñado,,,,,,,,,,,,,le conoces
997,,,me ha visto,,,,,,,,,,,,,le corresponde
998,,,me ha vuelto,,,,,,,,,,,,,le cuesta
999,,,me había dado,,,,,,,,,,,,,le cuesta
1000,,,me había distraído,,,,,,,,,,,,,le da
1001,,,me habían llebado,,,,,,,,,,,,,le da
1002,,,me habla,,,,,,,,,,,,,le da
1003,,,me habla,,,,,,,,,,,,,le da
1004,,,me habla,,,,,,,,,,,,,le dan
1005,,,me hablaba,,,,,,,,,,,,,le debo
1006,,,me hablaba,,,,,,,,,,,,,le debo
1007,,,me hablaba,,,,,,,,,,,,,le deja
1008,,,me hablaba,,,,,,,,,,,,,le despierta
1009,,,me hablaba,,,,,,,,,,,,,le despierta
1010,,,me habría despedido,,,,,,,,,,,,,le dicen
1011,,,me hace,,,,,,,,,,,,,le doy
1012,,,me hace,,,,,,,,,,,,,le duele
1013,,,me hace sonreía,,,,,,,,,,,,,le entendemos
1014,,,me hacen,,,,,,,,,,,,,le entendemos
1015,,,me haces,,,,,,,,,,,,,le entiende
1016,,,me haces,,,,,,,,,,,,,le entiendo
1017,,,me hacía,,,,,,,,,,,,,le es
1018,,,me hacía,,,,,,,,,,,,,le espera
1019,,,me han dado,,,,,,,,,,,,,le espera
1020,,,me han engañado,,,,,,,,,,,,,le espera
1021,,,me han engañado,,,,,,,,,,,,,le está engañando
1022,,,me han engañado,,,,,,,,,,,,,le está engañando
1023,,,me han engañado,,,,,,,,,,,,,le felicito
1024,,,me han escarnecido,,,,,,,,,,,,,le gusta
1025,,,me han hecho,,,,,,,,,,,,,le gusta
1026,,,me han hecho,,,,,,,,,,,,,le gusta
1027,,,me han pescado,,,,,,,,,,,,,le habla 
1028,,,me han puesto,,,,,,,,,,,,,le hace
1029,,,me han salido,,,,,,,,,,,,,le hace
1030,,,me has enseñado,,,,,,,,,,,,,le hace
1031,,,me has oído,,,,,,,,,,,,,le hace
1032,,,me haya dado,,,,,,,,,,,,,le hacen
1033,,,me haya saludado,,,,,,,,,,,,,le hacen
1034,,,me he criado,,,,,,,,,,,,,le hago
1035,,,me he dado,,,,,,,,,,,,,le hay
1036,,,me he enamorado,,,,,,,,,,,,,le importa
1037,,,me he enamorado,,,,,,,,,,,,,le juro
1038,,,me he enamorado,,,,,,,,,,,,,le juro
1039,,,me he encontrado,,,,,,,,,,,,,le juro
1040,,,me he encontrado,,,,,,,,,,,,,le juro
1041,,,me he forjado,,,,,,,,,,,,,le juro
1042,,,me he muerto,,,,,,,,,,,,,le juzga
1043,,,me he quedado,,,,,,,,,,,,,le llama
1044,,,me hice,,,,,,,,,,,,,le llaman
1045,,,me hice,,,,,,,,,,,,,le llamas
1046,,,me hieren,,,,,,,,,,,,,le llamas
1047,,,me hubiera casado,,,,,,,,,,,,,le lleva
1048,,,me imaginé,,,,,,,,,,,,,le lleva
1049,,,me importa,,,,,,,,,,,,,le malea
1050,,,me importa,,,,,,,,,,,,,le mando
1051,,,me importa,,,,,,,,,,,,,le molesta
1052,,,me importa,,,,,,,,,,,,,le moteja
1053,,,me importa,,,,,,,,,,,,,le muerden
1054,,,me importa,,,,,,,,,,,,,le ocurre
1055,,,me importa,,,,,,,,,,,,,le oye
1056,,,me importa,,,,,,,,,,,,,le parece
1057,,,me importa,,,,,,,,,,,,,le parece
1058,,,me importa,,,,,,,,,,,,,le parecen
1059,,,me inspiraría,,,,,,,,,,,,,le pasa
1060,,,me inspiró,,,,,,,,,,,,,le pasa
1061,,,me interesa,,,,,,,,,,,,,le pasa
1062,,,me interrumpió,,,,,,,,,,,,,le pasa
1063,,,me iré,,,,,,,,,,,,,le pone
1064,,,me irrito,,,,,,,,,,,,,le produce
1065,,,me la despertó,,,,,,,,,,,,,le puedes
1066,,,me la ha de pagar,,,,,,,,,,,,,le quiero
1067,,,me la ha de pagar,,,,,,,,,,,,,le quiero
1068,,,me la perdone,,,,,,,,,,,,,le quiero
1069,,,me lame,,,,,,,,,,,,,le quita
1070,,,me lanzaba,,,,,,,,,,,,,le reconquisto
1071,,,me las lío,,,,,,,,,,,,,le reencaja
1072,,,me late,,,,,,,,,,,,,le repito
1073,,,me libre,,,,,,,,,,,,,le rezamos
1074,,,me libro,,,,,,,,,,,,,le rodean
1075,,,me llama,,,,,,,,,,,,,le ruego
1076,,,me llamaba,,,,,,,,,,,,,le sirve
1077,,,me llaman,,,,,,,,,,,,,le soy
1078,,,me llamase,,,,,,,,,,,,,le soy
1079,,,me llamó,,,,,,,,,,,,,le tenéis
1080,,,me llamo ,,,,,,,,,,,,,le tengo
1081,,,me llega,,,,,,,,,,,,,le tengo
1082,,,me llena,,,,,,,,,,,,,le tiene
1083,,,me llevas,,,,,,,,,,,,,le tiene
1084,,,me llevas,,,,,,,,,,,,,le tienen
1085,,,me llevó,,,,,,,,,,,,,le tienes
1086,,,me lo agradezco,,,,,,,,,,,,,le toca
1087,,,me lo contó,,,,,,,,,,,,,le toca
1088,,,me lo da,,,,,,,,,,,,,le va
1089,,,me lo digas,,,,,,,,,,,,,le va
1090,,,me lo dijo,,,,,,,,,,,,,le voy
1091,,,me lo explico,,,,,,,,,,,,,les adiestran
1092,,,me lo explico,,,,,,,,,,,,,les cae
1093,,,me lo figuro,,,,,,,,,,,,,les corresponde
1094,,,me lo ha dado,,,,,,,,,,,,,les dejo
1095,,,me lo ha dicho,,,,,,,,,,,,,les enseñan
1096,,,me lo has oído,,,,,,,,,,,,,les importa
1097,,,me lo palpo,,,,,,,,,,,,,les ofrecen
1098,,,me lo pareció,,,,,,,,,,,,,les pasa
1099,,,me lo perdonas,,,,,,,,,,,,,les pido 
1100,,,me lo perdonas,,,,,,,,,,,,,les visten
1101,,,me lo preguntó,,,,,,,,,,,,,lo aborrece
1102,,,me lo sabía,,,,,,,,,,,,,lo aborrezco
1103,,,me lo suponía,,,,,,,,,,,,,lo comprende
1104,,,me lo veo,,,,,,,,,,,,,lo comprendo
1105,,,me mantenga,,,,,,,,,,,,,lo crea
1106,,,me mataré,,,,,,,,,,,,,lo crea
1107,,,me mira,,,,,,,,,,,,,lo cree
1108,,,me miras,,,,,,,,,,,,,lo crees
1109,,,me miró,,,,,,,,,,,,,lo creo
1110,,,me miró,,,,,,,,,,,,,lo creo
1111,,,me miró,,,,,,,,,,,,,lo creo
1112,,,me miró,,,,,,,,,,,,,lo creo
1113,,,me miró,,,,,,,,,,,,,lo dice
1114,,,me molesta,,,,,,,,,,,,,lo dice
1115,,,me moría,,,,,,,,,,,,,lo digo
1116,,,me moriré,,,,,,,,,,,,,lo dudo
1117,,,me moriré,,,,,,,,,,,,,lo entiendo
1118,,,me moriré,,,,,,,,,,,,,lo entiendo
1119,,,me muera,,,,,,,,,,,,,lo entiendo
1120,,,me muera,,,,,,,,,,,,,lo envías
1121,,,me muera ,,,,,,,,,,,,,lo es
1122,,,me muero,,,,,,,,,,,,,lo es
1123,,,me negarás,,,,,,,,,,,,,lo es
1124,,,me niegue,,,,,,,,,,,,,lo es
1125,,,me ofenden,,,,,,,,,,,,,lo es
1126,,,me opongo,,,,,,,,,,,,,lo está
1127,,,me palpo,,,,,,,,,,,,,lo está
1128,,,me parece,,,,,,,,,,,,,lo está
1129,,,me parece,,,,,,,,,,,,,lo están
1130,,,me parece,,,,,,,,,,,,,lo hace
1131,,,me parece,,,,,,,,,,,,,lo niego
1132,,,me parece,,,,,,,,,,,,,lo niego
1133,,,me parece,,,,,,,,,,,,,lo niego
1134,,,me parece,,,,,,,,,,,,,lo prueba
1135,,,me parece,,,,,,,,,,,,,lo puede
1136,,,Me parece,,,,,,,,,,,,,lo puede
1137,,,me parece,,,,,,,,,,,,,lo puedo
1138,,,me parece,,,,,,,,,,,,,lo puedo
1139,,,me parece,,,,,,,,,,,,,lo quiere
1140,,,me parece,,,,,,,,,,,,,lo quiere
1141,,,me parece,,,,,,,,,,,,,lo recibo
1142,,,me parece,,,,,,,,,,,,,lo recuerdo
1143,,,me parece,,,,,,,,,,,,,lo representa
1144,,,me parece,,,,,,,,,,,,,lo sabe
1145,,,me parece,,,,,,,,,,,,,lo sabe
1146,,,me parece,,,,,,,,,,,,,lo sabe
1147,,,me parece,,,,,,,,,,,,,lo sabe
1148,,,me parece,,,,,,,,,,,,,lo sabes
1149,,,me parece,,,,,,,,,,,,,lo sabes
1150,,,me parece,,,,,,,,,,,,,lo sabes
1151,,,me parece,,,,,,,,,,,,,lo sabes
1152,,,me parece,,,,,,,,,,,,,lo sé
1153,,,me parece,,,,,,,,,,,,,lo sé
1154,,,me parece,,,,,,,,,,,,,lo sé
1155,,,Me parece,,,,,,,,,,,,,lo sé
1156,,,Me parece,,,,,,,,,,,,,lo sé
1157,,,me parece,,,,,,,,,,,,,lo sé 
1158,,,me parece,,,,,,,,,,,,,lo somos
1159,,,me parece,,,,,,,,,,,,,lo soporta
1160,,,me parece,,,,,,,,,,,,,lo soy
1161,,,me parece,,,,,,,,,,,,,lo tenemos
1162,,,me parece,,,,,,,,,,,,,lo tenemos
1163,,,me parecen,,,,,,,,,,,,,lo tengo
1164,,,me pareces,,,,,,,,,,,,,lo tiene
1165,,,me parecía,,,,,,,,,,,,,lo veo
1166,,,me pareció,,,,,,,,,,,,,lo ves
1167,,,me parió,,,,,,,,,,,,,lo ves
1168,,,me pasa,,,,,,,,,,,,,lo ves
1169,,,me pasa,,,,,,,,,,,,,lo ves
1170,,,me pasa,,,,,,,,,,,,,lo ves
1171,,,me pasa,,,,,,,,,,,,,lo voy
1172,,,me pasa,,,,,,,,,,,,,los conozco
1173,,,me pasa,,,,,,,,,,,,,los llevas
1174,,,me pasa,,,,,,,,,,,,,los mecen
1175,,,me pasa,,,,,,,,,,,,,los tienes
1176,,,me pasa,,,,,,,,,,,,,los tienes
1177,,,me pasa,,,,,,,,,,,,,me abandonas
1178,,,me pasa,,,,,,,,,,,,,me acepta
1179,,,me pasó,,,,,,,,,,,,,me acepta
1180,,,me pellizqué,,,,,,,,,,,,,me acepta
1181,,,me perdonas,,,,,,,,,,,,,me acerco
1182,,,me perdones,,,,,,,,,,,,,me aconsejas
1183,,,me persigne,,,,,,,,,,,,,me acostumbro
1184,,,me persigue,,,,,,,,,,,,,me acostumbro
1185,,,me pesca,,,,,,,,,,,,,me acuerdo
1186,,,me pida,,,,,,,,,,,,,me acuerdo
1187,,,me pide,,,,,,,,,,,,,me admira
1188,,,me pidió,,,,,,,,,,,,,me admite
1189,,,me piensen,,,,,,,,,,,,,me agradan
1190,,,me place,,,,,,,,,,,,,me apuras
1191,,,me plazca,,,,,,,,,,,,,me arrebata
1192,,,me pondré,,,,,,,,,,,,,me arreglan
1193,,,me pondré,,,,,,,,,,,,,me asaltan
1194,,,me ponga,,,,,,,,,,,,,me asusta
1195,,,me ponga,,,,,,,,,,,,,me atengo
1196,,,me preguntaba,,,,,,,,,,,,,me atrevo
1197,,,me preguntas,,,,,,,,,,,,,me brillan
1198,,,me preguntó,,,,,,,,,,,,,me brillan
1199,,,Me preguntó,,,,,,,,,,,,,me cabe
1200,,,me preguntó,,,,,,,,,,,,,me cabe
1201,,,me prendé,,,,,,,,,,,,,me cabe
1202,,,me producen,,,,,,,,,,,,,me cabe
1203,,,Me promete,,,,,,,,,,,,,me carga
1204,,,me promete,,,,,,,,,,,,,me caso
1205,,,me promete,,,,,,,,,,,,,me caso
1206,,,me promete,,,,,,,,,,,,,me cohiba
1207,,,me prometes,,,,,,,,,,,,,me conmueve
1208,,,me pude,,,,,,,,,,,,,me conocen
1209,,,me pueda,,,,,,,,,,,,,me conquista
1210,,,me puede,,,,,,,,,,,,,me conquista
1211,,,me puedo,,,,,,,,,,,,,me contento
1212,,,me puse,,,,,,,,,,,,,me crees
1213,,,me puse,,,,,,,,,,,,,me crees
1214,,,me puso,,,,,,,,,,,,,me da
1215,,,me queda,,,,,,,,,,,,,me da
1216,,,me quedan,,,,,,,,,,,,,me da
1217,,,me quedaré,,,,,,,,,,,,,me da
1218,,,me quede,,,,,,,,,,,,,me da
1219,,,me quedé,,,,,,,,,,,,,me da grima
1220,,,me quedé,,,,,,,,,,,,,me das
1221,,,me quejé,,,,,,,,,,,,,me dedica
1222,,,me quería,,,,,,,,,,,,,me defiendo
1223,,,me querrás,,,,,,,,,,,,,me deja
1224,,,me querrás,,,,,,,,,,,,,me deja
1225,,,me quiera,,,,,,,,,,,,,me dejas
1226,,,me quiere,,,,,,,,,,,,,me dejo
1227,,,me quiere,,,,,,,,,,,,,me desprecia
1228,,,me quiere,,,,,,,,,,,,,me desprecia
1229,,,me quiere,,,,,,,,,,,,,me devoro
1230,,,me quiere,,,,,,,,,,,,,me devoro
1231,,,me quiere,,,,,,,,,,,,,me dice
1232,,,me quiere,,,,,,,,,,,,,me dice
1233,,,me quiere,,,,,,,,,,,,,me dice
1234,,,me quiere,,,,,,,,,,,,,me dice
1235,,,me quiere,,,,,,,,,,,,,me digo
1236,,,me quiere,,,,,,,,,,,,,me digo
1237,,,me quieres,,,,,,,,,,,,,me divierte
1238,,,me quieres,,,,,,,,,,,,,me doy
1239,,,me quiero,,,,,,,,,,,,,me duele
1240,,,me quitaré,,,,,,,,,,,,,me echa
1241,,,me quite,,,,,,,,,,,,,me echa
1242,,,me rechazará,,,,,,,,,,,,,me encocora
1243,,,me rechazaste,,,,,,,,,,,,,me encocoran
1244,,,me rechazaste,,,,,,,,,,,,,me encuentras
1245,,,me reconoce,,,,,,,,,,,,,me entiende
1246,,,me reconquistase,,,,,,,,,,,,,me entiende
1247,,,me recuerda,,,,,,,,,,,,,me entiende
1248,,,me recuerda,,,,,,,,,,,,,me entiende
1249,,,me replicó,,,,,,,,,,,,,me entiendes
1250,,,me replicó,,,,,,,,,,,,,me entran
1251,,,me resignaba,,,,,,,,,,,,,me entusiasma
1252,,,me resuelvo,,,,,,,,,,,,,me equivoco
1253,,,me retire,,,,,,,,,,,,,me equivoco
1254,,,me revea,,,,,,,,,,,,,me es
1255,,,me rodean,,,,,,,,,,,,,me esfuerzo
1256,,,me salga,,,,,,,,,,,,,me esoty
1258,,,me saludó,,,,,,,,,,,,,me está llamando
1259,,,me sobra,,,,,,,,,,,,,me estás soñando
1260,,,me rogó,,,,,,,,,,,,,me exalto
1257,,,me sentí,,,,,,,,,,,,,me falta
1261,,,me siento,,,,,,,,,,,,,me falta
1262,,,me siento,,,,,,,,,,,,,me falta
1263,,,me sobra,,,,,,,,,,,,,me fastidia
1264,,,me sobra,,,,,,,,,,,,,me fastidia
1265,,,me sobra,,,,,,,,,,,,,me felicito
1266,,,me sonreía,,,,,,,,,,,,,me figuro
1267,,,me subyuga,,,,,,,,,,,,,me gano
1268,,,me suicide,,,,,,,,,,,,,me gusta
1269,,,me suicide,,,,,,,,,,,,,me gusta
1270,,,me suicide,,,,,,,,,,,,,me gusta
1271,,,me suicide,,,,,,,,,,,,,me gustan
1272,,,me suplicó,,,,,,,,,,,,,me habla
1273,,,me supongo,,,,,,,,,,,,,me habla
1274,,,me supongo,,,,,,,,,,,,,me habla
1275,,,me suponía,,,,,,,,,,,,,me hace
1276,,,me temo,,,,,,,,,,,,,me hace
1277,,,me tengo,,,,,,,,,,,,,me hace sonreía
1278,,,me tenía,,,,,,,,,,,,,me hacen
1279,,,me tienes,,,,,,,,,,,,,me haces
1280,,,me toco,,,,,,,,,,,,,me haces
1281,,,me toma,,,,,,,,,,,,,me hieren
1282,,,me trae,,,,,,,,,,,,,me importa
1283,,,me traéis,,,,,,,,,,,,,me importa
1284,,,me traerá,,,,,,,,,,,,,me importa
1285,,,me traes,,,,,,,,,,,,,me importa
1286,,,me traigas,,,,,,,,,,,,,me importa
1287,,,me turban,,,,,,,,,,,,,me importa
1288,,,me tuve,,,,,,,,,,,,,me importa
1289,,,me tuviera,,,,,,,,,,,,,me importa
1290,,,me va,,,,,,,,,,,,,me importa
1291,,,me va,,,,,,,,,,,,,me importa
1292,,,me va,,,,,,,,,,,,,me interesa
1293,,,me va,,,,,,,,,,,,,me irrito
1294,,,me va a dar,,,,,,,,,,,,,me lame
1295,,,Me va a quemar,,,,,,,,,,,,,me las lío
1296,,,me van,,,,,,,,,,,,,me late
1297,,,me vas,,,,,,,,,,,,,me libro
1298,,,me vaya,,,,,,,,,,,,,me llama
1299,,,me ve,,,,,,,,,,,,,me llaman
1300,,,me vea,,,,,,,,,,,,,me llamo 
1301,,,me vea,,,,,,,,,,,,,me llega
1302,,,me vea,,,,,,,,,,,,,me llena
1303,,,me vea,,,,,,,,,,,,,me llevas
1304,,,me vea,,,,,,,,,,,,,me llevas
1305,,,me veía,,,,,,,,,,,,,me lo agradezco
1306,,,me veían,,,,,,,,,,,,,me lo da
1307,,,me veían,,,,,,,,,,,,,me lo explico
1308,,,me veles,,,,,,,,,,,,,me lo explico
1309,,,me veré,,,,,,,,,,,,,me lo figuro
1310,,,me viene,,,,,,,,,,,,,me lo palpo
1311,,,me vienes,,,,,,,,,,,,,me lo perdonas
1312,,,me viese,,,,,,,,,,,,,me lo perdonas
1313,,,me visite,,,,,,,,,,,,,me lo veo
1314,,,me volverá,,,,,,,,,,,,,me mira
1315,,,me voy,,,,,,,,,,,,,me miras
1316,,,me voy enamorando,,,,,,,,,,,,,me molesta
1317,,,me vuelves,,,,,,,,,,,,,me muero
1318,,,me vuelvo,,,,,,,,,,,,,me ofenden
1319,,,no lo ha hecho,,,,,,,,,,,,,me opongo
1320,,,nos aburrimos,,,,,,,,,,,,,me palpo
1321,,,nos acaricia,,,,,,,,,,,,,me parece
1322,,,nos calmamos,,,,,,,,,,,,,me parece
1323,,,nos casa,,,,,,,,,,,,,me parece
1324,,,nos casamos,,,,,,,,,,,,,me parece
1325,,,nos casamos,,,,,,,,,,,,,me parece
1326,,,nos casaron,,,,,,,,,,,,,me parece
1327,,,nos casaron,,,,,,,,,,,,,me parece
1328,,,nos casaron,,,,,,,,,,,,,me parece
1329,,,nos casemos,,,,,,,,,,,,,Me parece
1330,,,nos casemos,,,,,,,,,,,,,me parece
1331,,,nos casemos,,,,,,,,,,,,,me parece
1332,,,nos catiga,,,,,,,,,,,,,me parece
1333,,,nos conozcamos,,,,,,,,,,,,,me parece
1334,,,nos consolamos,,,,,,,,,,,,,me parece
1335,,,nos consolemos,,,,,,,,,,,,,me parece
1336,,,nos contentamos,,,,,,,,,,,,,me parece
1337,,,nos cuenta,,,,,,,,,,,,,me parece
1338,,,nos cuenta,,,,,,,,,,,,,me parece
1339,,,nos cuidamos,,,,,,,,,,,,,me parece
1340,,,nos da,,,,,,,,,,,,,me parece
1341,,,nos da,,,,,,,,,,,,,me parece
1342,,,nos daba,,,,,,,,,,,,,me parece
1343,,,nos dejan,,,,,,,,,,,,,me parece
1344,,,nos deslizábamos,,,,,,,,,,,,,me parece
1345,,,nos dice,,,,,,,,,,,,,me parece
1346,,,nos dijimos,,,,,,,,,,,,,me parece
1347,,,nos empujan,,,,,,,,,,,,,me parece
1348,,,nos encontramos,,,,,,,,,,,,,Me parece
1349,,,nos entendemos,,,,,,,,,,,,,Me parece
1350,,,nos entendemos,,,,,,,,,,,,,me parece
1351,,,nos entre,,,,,,,,,,,,,me parece
1352,,,nos entró,,,,,,,,,,,,,me parece
1353,,,nos escribamos,,,,,,,,,,,,,me parece
1354,,,nos esté,,,,,,,,,,,,,me parece
1355,,,nos expliquemos,,,,,,,,,,,,,me parece
1356,,,nos finge,,,,,,,,,,,,,me parecen
